lat,lon,lookup_elevation_m
32.842,-116.225,285.92
32.842,-95.994,143.63
32.842,-94.696,79.61
32.844,-89.1,120.19
32.845,-117.006,98.36
32.854,-85.925,157.19
32.857,-91.395,35.83
32.858,-95.447,126.04
32.861,-116.891,234.09
32.863,-114.445,59.6
32.869,-90.76,28.05
32.871,-114.467,49.9
32.872,-88.185,43.3
32.874,-98.559,337.69
32.874,-81.958,59.64
32.881,-87.446,79.05
32.882,-112.73,263.09
32.884,-87.44,107.31
32.889,-87.444,86.33
32.893,-92.951,79.74
32.893,-87.783,31.48
32.902,-114.474,55.92
32.903,-114.477,56.22
32.904,-114.489,86.73
32.905,-93.007,90.24
32.905,-92.744,36.8
32.909,-80.057,12.39
32.91,-91.85,39.01
32.912,-115.118,80.61
32.918,-95.356,131.3
32.922,-85.156,193.82
32.923,-99.225,368.42
32.934,-115.137,79.33
32.94,-115.143,80.31
32.95,-116.302,403.71
32.953,-95.276,152.46
32.956,-97.073,171.26
32.957,-85.218,206.52
32.959,-95.994,140.62
32.961,-115.168,55.38
32.975,-115.176,54.34
32.977,-85.214,207.29
32.977,-79.983,5.61
32.983,-115.133,148.25
32.986,-114.476,55.91
32.988,-115.057,106.89
32.992,-115.079,97.23
32.992,-97.087,163.09
32.994,-115.091,91.84
33.002,-93.463,72.92
33.003,-85.192,195.69
33.005,-93.518,62.15
33.006,-97.104,174.81
33.013,-94.691,124.71
33.015,-85.219,202.07
33.019,-93.522,60.59
33.019,-83.726,102.18
33.022,-117.284,20.98
33.022,-85.183,220.79
33.023,-113.048,175.99
33.024,-85.156,200.11
33.027,-89.92,108.32
33.027,-80.385,19.09
33.033,-96.451,153.32
33.034,-114.673,92.11
33.039,-79.561,4.61
33.04,-86.948,107.72
33.044,-115.489,-49.77
33.051,-95.143,116.34
33.054,-95.099,120.54
33.059,-96.488,153.97
33.06,-92.125,24.87
33.061,-80.616,25.32
33.065,-95.169,117.34
33.067,-95.139,120.05
33.07,-95.142,122.53
33.076,-95.158,129.15
33.08,-95.059,107.13
33.081,-96.55,156.63
33.083,-96.917,165.04
33.084,-97.021,164.48
33.084,-88.27,49.76
33.089,-95.072,118.28
33.103,-97.07,165.29
33.103,-96.444,156.52
33.104,-117.319,20.67
33.113,-98.596,311.01
33.114,-96.893,167.91
33.115,-97.039,171.06
33.138,-116.374,429.12
33.138,-98.597,330.48
33.144,-92.095,23.62
33.15,-98.741,355.67
33.151,-116.167,110.17
33.154,-89.047,141.9
33.158,-96.945,166.1
33.161,-90.936,32.02
33.162,-117.047,318.48
33.17,-99.177,397.96
33.174,-79.562,9.16
33.179,-84.021,179.61
33.194,-98.648,331.81
33.199,-79.47,6.09
33.202,-115.613,-68.04
33.206,-98.157,330.34
33.207,-85.083,205.04
33.207,-82.778,106.92
33.208,-83.395,103.46
33.221,-117.405,4.85
33.221,-94.302,83.71
33.231,-94.25,87.54
33.235,-88.304,44.86
33.245,-83.92,154.27
33.247,-117.272,33.08
33.251,-87.068,130.03
33.254,-87.43,57.03
33.255,-96.655,196.48
33.257,-115.464,21.21
33.257,-87.435,87.77
33.257,-79.987,23.36
33.261,-94.189,72.98
33.267,-94.471,70.15
33.267,-94.348,76.39
33.269,-116.406,226.39
33.275,-89.146,146.8
33.277,-112.642,288.15
33.278,-97.845,272.21
33.281,-91.225,34.44
33.285,-79.619,3.82
33.287,-95.657,153.58
33.288,-94.171,76.19
33.29,-94.25,73.93
33.292,-94.331,79.01
33.293,-83.2,140.45
33.296,-87.677,81.49
33.299,-94.168,92.42
33.3,-92.462,27.61
33.301,-92.347,27.42
33.328,-115.946,-67.42
33.329,-81.301,75.04
33.332,-117.324,38.99
33.338,-86.853,151.33
33.342,-97.593,291.65
33.347,-94.171,70.48
33.348,-95.664,138.04
33.349,-93.182,91.88
33.349,-91.126,39.33
33.351,-115.739,-68.07
33.352,-83.168,150.55
33.353,-86.718,207.25
33.358,-94.186,77.17
33.359,-88.874,87.65
33.366,-97.013,208.1
33.37,-91.197,34.16
33.37,-82.255,104.64
33.374,-117.562,28.73
33.38,-117.572,11
33.382,-97.572,276.44
33.385,-112.376,279.6
33.394,-83.21,152.66
33.396,-114.723,70.79
33.399,-114.725,70.8
33.405,-94.317,91.15
33.407,-117.602,36.53
33.407,-117.585,31.76
33.409,-99.391,405.83
33.416,-89.262,159.64
33.426,-84.972,283.35
33.427,-88.303,84.08
33.43,-97.057,206.26
33.437,-87.38,68.24
33.444,-85.842,350.99
33.447,-84.952,213.36
33.448,-114.903,199.13
33.448,-114.9,198.3
33.448,-83.826,173.52
33.45,-87.349,143.46
33.461,-85.874,235.31
33.464,-117.688,6.56
33.471,-94.006,102.79
33.474,-115.888,-70.32
33.476,-111.62,605.31
33.484,-97.888,283.3
33.489,-115.902,-68.34
33.494,-114.888,176.14
33.498,-93.77,72.67
33.503,-79.069,1.22
33.506,-115.916,-67.8
33.506,-88.933,77.55
33.515,-83.267,157.83
33.521,-80.497,41.41
33.539,-117.553,117.31
33.54,-117.557,119.18
33.546,-111.66,409.93
33.546,-84.704,286.7
33.547,-111.646,408.94
33.547,-96.146,189.19
33.549,-97.834,336.03
33.55,-81.489,79.39
33.558,-82.897,183.06
33.562,-89.282,122.65
33.563,-117.822,37.51
33.566,-112.499,435.61
33.587,-115.977,84.83
33.601,-88.471,53.1
33.602,-85.167,334.69
33.608,-88.497,51.69
33.615,-82.513,107.92
33.617,-115.999,172.28
33.62,-93.861,76.19
33.621,-85.963,190.9
33.627,-116.268,-0.38
33.629,-82.476,112.55
33.639,-82.289,134.35
33.643,-96.137,177.22
33.643,-82.385,134.76
33.646,-82.414,106.96
33.654,-117.998,6.31
33.657,-117.604,335.77
33.657,-78.928,5.67
33.66,-114.2,282.18
33.66,-93.609,95.37
33.66,-83.602,197.42
33.66,-82.261,110.29
33.663,-114.217,269.17
33.665,-82.443,109.11
33.671,-114.534,86.06
33.677,-117.374,390.85
33.677,-82.264,102.44
33.681,-94,92.14
33.689,-93.117,60.48
33.689,-82.315,105.95
33.691,-93.967,78.18
33.692,-118.044,4.75
33.692,-93.963,80.07
33.698,-93.944,77.66
33.701,-82.263,107.37
33.706,-93.936,107.71
33.72,-85.56,424.41
33.721,-83.291,138.77
33.722,-82.217,111.69
33.725,-85.604,288.81
33.727,-114.659,160.52
33.732,-82.037,138.48
33.734,-85.262,334.84
33.735,-95.922,153.02
33.737,-95.974,159.22
33.737,-95.929,156.04
33.739,-93.92,78.93
33.75,-118.085,7.15
33.754,-82.203,127.7
33.758,-98.395,290.43
33.761,-94.059,79.93
33.783,-94.006,79.27
33.785,-85.558,364.08
33.787,-82.271,100.4
33.791,-93.966,82.7
33.796,-118.05,8.19
33.8,-98.18,269.76
33.8,-89.764,82.6
33.8,-88.511,58.12
33.801,-80.534,37.71
33.803,-89.729,92.18
33.81,-96.835,193.64
33.81,-96.6,219.17
33.811,-85.143,334.32
33.818,-96.564,167.44
33.825,-95.628,153.65
33.831,-89.632,80.36
33.831,-89.605,71.06
33.837,-82.338,110.06
33.841,-95.537,149.05
33.842,-96.85,197.5
33.844,-95.587,153.27
33.844,-89.78,77.78
33.845,-95.606,144.6
33.847,-91.052,45.37
33.847,-88.533,59.39
33.849,-82.115,106.73
33.851,-96.574,202.43
33.854,-82.403,112.6
33.86,-96.832,202.29
33.861,-96.664,203.33
33.862,-97.663,265.62
33.864,-96.591,192.72
33.865,-90.957,43.87
33.867,-96.895,199.12
33.876,-86.865,194.15
33.878,-89.689,75.25
33.88,-96.899,202.16
33.882,-97.658,258.64
33.882,-82.411,125.35
33.884,-96.649,206.16
33.885,-97.644,262.54
33.889,-82.357,123.36
33.896,-96.572,194.06
33.897,-96.81,200.76
33.902,-89.627,94.1
33.92,-117.824,153.95
33.921,-96.862,191.98
33.921,-89.698,65.5
33.921,-82.49,112.07
33.922,-84.522,309.47
33.924,-96.553,196.45
33.927,-96.703,201.37
33.927,-96.675,203.89
33.928,-114.02,291.25
33.931,-118.435,14.99
33.933,-91.833,77.56
33.937,-96.554,190.42
33.937,-82.539,112.12
33.942,-117.641,168.15
33.946,-88.565,82.36
33.948,-88.422,79.38
33.949,-93.863,138.96
33.953,-96.609,204.7
33.959,-82.54,113.14
33.962,-96.914,194.91
33.965,-80.455,63.87
33.971,-96.995,201.97
33.973,-82.627,103.67
33.979,-91.309,56.19
33.979,-82.589,124.12
33.98,-117.413,228.12
33.981,-112.711,676.64
33.981,-77.914,3.8
33.983,-96.572,197.66
33.985,-83.734,279.19
33.988,-91.31,44.78
33.989,-83.844,273.97
